jersey_num,pet_threes_made
45,0.35959482273494653
34,0.35521235521235522
24,0.35300114693513446
4,0.35217474611994637
30,0.35081735857932494
31,0.35060577819198507
21,0.35024983444705315
20,0.35011880125699396
10,0.349279772773382
3,0.34865793369270731
14,0.34850600390952247
11,0.3481254477433734
44,0.34639977759243812
32,0.34611016467915956
5,0.3460838973196983
1,0.34568859390890117
33,0.34449452672247266
43,0.34424778761061947
23,0.34395713654441007
2,0.34357970305106866
12,0.34310082241851964
0,0.34118986817585756
13,0.3411667303528213
42,0.3403338718362951
50,0.33959731543624161
51,0.3380084151472651
35,0.33691030572990482
25,0.33514200932598559
15,0.333946763062767
,0.33333333333333331
22,0.33079654997463215
55,0.33001531393568145
52,0.32860040567951321
53,0.32323232323232326
40,0.32048681541582152
41,0.30138888888888887
54,0.12820512820512819
